angry0,angry1,box0,box1,disgust0,disgust1,fear0,fear1,happy0,happy1,neutral0,neutral1,sad0,sad1,surprise0,surprise1
0.18,,"[1991, 861, 182, 226]",,0.01,,0.05,,0.0,,0.1,,0.66,,0.0,
0.17,,"[1992, 862, 181, 225]",,0.01,,0.05,,0.0,,0.13,,0.64,,0.0,
0.18,,"[1992, 861, 181, 226]",,0.0,,0.05,,0.01,,0.09,,0.67,,0.0,
0.15,,"[1994, 862, 179, 227]",,0.01,,0.05,,0.01,,0.06,,0.72,,0.0,
0.16,,"[1995, 862, 180, 228]",,0.0,,0.07,,0.01,,0.12,,0.64,,0.0,
0.17,,"[1995, 863, 179, 227]",,0.01,,0.05,,0.01,,0.08,,0.68,,0.0,
0.23,,"[1993, 858, 187, 234]",,0.01,,0.08,,0.01,,0.14,,0.51,,0.0,
0.16,,"[1995, 864, 186, 226]",,0.0,,0.06,,0.01,,0.26,,0.5,,0.0,
0.16,,"[1994, 864, 187, 226]",,0.0,,0.06,,0.01,,0.27,,0.5,,0.0,
0.3,,"[1998, 862, 183, 234]",,0.0,,0.09,,0.0,,0.15,,0.45,,0.0,
0.2,,"[1998, 862, 186, 236]",,0.0,,0.04,,0.0,,0.09,,0.66,,0.0,
0.26,,"[2002, 865, 185, 237]",,0.0,,0.04,,0.0,,0.13,,0.57,,0.0,
0.21,,"[2003, 865, 183, 236]",,0.01,,0.03,,0.01,,0.34,,0.39,,0.0,
0.14,,"[2006, 876, 179, 228]",,0.01,,0.03,,0.0,,0.23,,0.59,,0.0,
0.29,,"[2004, 869, 189, 243]",,0.0,,0.02,,0.0,,0.25,,0.44,,0.0,
0.32,,"[2009, 878, 179, 234]",,0.0,,0.05,,0.0,,0.23,,0.39,,0.0,
0.17,,"[2005, 874, 190, 247]",,0.0,,0.02,,0.01,,0.47,,0.33,,0.0,
0.2,,"[2008, 878, 188, 244]",,0.0,,0.03,,0.01,,0.55,,0.21,,0.0,
0.12,,"[2010, 884, 185, 235]",,0.0,,0.01,,0.03,,0.75,,0.08,,0.0,
0.13,,"[2009, 883, 185, 237]",,0.0,,0.02,,0.05,,0.74,,0.06,,0.0,
0.19,,"[2010, 885, 184, 235]",,0.01,,0.04,,0.07,,0.49,,0.2,,0.0,
0.33,,"[2010, 885, 183, 236]",,0.01,,0.04,,0.04,,0.45,,0.13,,0.0,
0.41,,"[2008, 882, 186, 239]",,0.01,,0.03,,0.01,,0.36,,0.18,,0.01,
0.49,,"[2007, 879, 186, 242]",,0.01,,0.03,,0.01,,0.33,,0.12,,0.01,
0.42,,"[2012, 880, 178, 240]",,0.02,,0.04,,0.01,,0.36,,0.15,,0.0,
0.36,,"[2010, 879, 179, 239]",,0.0,,0.03,,0.01,,0.38,,0.21,,0.0,
0.43,,"[2009, 877, 186, 242]",,0.0,,0.04,,0.01,,0.3,,0.21,,0.0,
0.25,,"[2010, 878, 181, 238]",,0.0,,0.05,,0.01,,0.41,,0.29,,0.0,
0.33,,"[2009, 874, 184, 242]",,0.0,,0.04,,0.0,,0.35,,0.27,,0.0,
0.32,,"[2013, 879, 178, 234]",,0.01,,0.04,,0.0,,0.12,,0.52,,0.0,
